id,title,author,date_publication,content,content_clean,source,url,processed_at
509,BBC RSS,,"Mon, 04 Ma",UAE accuses Iran of renewed drone and missile attacks,uae accuses iran of renewed drone and missile attacks,BBC,https://www.bbc.com/news/articles/cjwp432d0v5o?at_medium=RSS&at_campaign=rss,2026-05-04T19:37:14.208120
510,BBC RSS,,"Mon, 04 Ma",Two killed and many injured after car driven into crowd in German city of Leipzig,two killed and many injured after car driven into crowd in german city of leipzig,BBC,https://www.bbc.com/news/articles/ckgpzgxgz58o?at_medium=RSS&at_campaign=rss,2026-05-04T19:37:14.208120
511,BBC RSS,,"Mon, 04 Ma",Three dead in suspected virus outbreak on Atlantic cruise ship,three dead in suspected virus outbreak on atlantic cruise ship,BBC,https://www.bbc.com/news/articles/cy0294829ndo?at_medium=RSS&at_campaign=rss,2026-05-04T19:37:14.208120
512,BBC RSS,,"Mon, 04 Ma",Britney Spears pleads guilty to reckless driving after arrest,britney spears pleads guilty to reckless driving after arrest,BBC,https://www.bbc.com/news/articles/ce9p09e5vnro?at_medium=RSS&at_campaign=rss,2026-05-04T19:37:14.208120
513,BBC RSS,,"Mon, 04 Ma",Two arrested over arson attack at Golders Green memorial,two arrested over arson attack at golders green memorial,BBC,https://www.bbc.com/news/articles/c9v3kvjxr4mo?at_medium=RSS&at_campaign=rss,2026-05-04T19:37:14.208120
514,CNN RSS,,"Wed, 05 Ap",Haberman reveals why Trump attacked judge and his family in speech,haberman reveals why trump attacked judge and his family in speech,CNN,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,2026-05-04T19:37:14.208120
515,CNN RSS,,"Wed, 05 Ap",What to know about the Trump indictment on the eve of his court appearance,what to know about the trump indictment on the eve of his court appearance,CNN,https://www.cnn.com/collections/intl-trump-040223/,2026-05-04T19:37:14.208120
516,CNN RSS,,,READ: Trump indictment related to hush money payment,read: trump indictment related to hush money payment,CNN,https://cnn.it/411KYN7,2026-05-04T19:37:14.208120
517,CNN RSS,,,Russian authorities detain suspect over St. Petersburg cafe blast,russian authorities detain suspect over st. petersburg cafe blast,CNN,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,2026-05-04T19:37:14.208120
518,Al Jazeera RSS,,"Mon, 04 Ma","Gangland wars killing dozens of bystanders, report Swedish police","gangland wars killing dozens of bystanders, report swedish police",Al Jazeera,https://www.aljazeera.com/news/2026/5/4/gangland-wars-killing-dozens-of-bystanders-report-swedish-police?traffic_source=rss,2026-05-04T19:37:14.208120
519,Al Jazeera RSS,,"Mon, 04 Ma",Iran-US clash over alleged warship attack in Strait of Hormuz,iran-us clash over alleged warship attack in strait of hormuz,Al Jazeera,https://www.aljazeera.com/video/newsfeed/2026/5/4/iran-us-clash-over-alleged-warship-attack-in-strait-of-hormuz?traffic_source=rss,2026-05-04T19:37:14.208120
520,Al Jazeera RSS,,"Mon, 04 Ma",Zambia delaying US deals over minerals and data demands,zambia delaying us deals over minerals and data demands,Al Jazeera,https://www.aljazeera.com/news/2026/5/4/zambia-delaying-us-deals-over-minerals-and-data-demands?traffic_source=rss,2026-05-04T19:37:14.208120
521,Al Jazeera RSS,,"Mon, 04 Ma",Tackling methane emissions key for climate change and energy security: IEA,tackling methane emissions key for climate change and energy security: iea,Al Jazeera,https://www.aljazeera.com/news/2026/5/4/tackling-methane-emissions-key-for-climate-change-and-energy-security-iea?traffic_source=rss,2026-05-04T19:37:14.208120
522,Al Jazeera RSS,,"Mon, 04 Ma","Car ploughs into pedestrians in central Leipzig, Germany","car ploughs into pedestrians in central leipzig, germany",Al Jazeera,https://www.aljazeera.com/video/newsfeed/2026/5/4/car-ploughs-into-pedestrians-in-central-leipzig-germany?traffic_source=rss,2026-05-04T19:37:14.208120
523,General,,,الأرصاد الجوية تُحذر من تقلبات جوية وتدعو لتوخي الحذر تزامناً مع العطلة المدرسية,الأرصاد الجوية تُحذر من تقلبات جوية وتدعو لتوخي الحذر تزامناً مع العطلة المدرسية,Akhbarona,https://www.akhbarona.com/national/425322.html,2026-05-04T19:37:14.208120
524,General,,,"بعد مغادرته السجن.. ""جلوطة"" يصفّي ""حسابات قديمة"" مع ""طوطو"" و ""فرنش مونتانا"" ويشعل الراب المغربي بكلاشات نارية","بعد مغادرته السجن.. ""جلوطة"" يصفّي ""حسابات قديمة"" مع ""طوطو"" و ""فرنش مونتانا"" ويشعل الراب المغربي بكلاشات نارية",Akhbarona,https://www.akhbarona.com/culture/425324.html,2026-05-04T19:37:14.208120
